address,date,json,country,province,citycode,city,district,location,long,lat
上海市博兴路1663弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路1663弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.600769,31.274186', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.600769,31.274186",121.600769,31.274186
上海市博兴路1676弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路1676弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.603621,31.276550', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.603621,31.276550",121.603621,31.276550
上海市博兴路1768弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路1768弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.601702,31.277120', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.601702,31.277120",121.601702,31.277120
上海市博兴路250弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路250弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.578757,31.269007', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.578757,31.269007",121.578757,31.269007
上海市博兴路462弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路462弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.581597,31.265408', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.581597,31.265408",121.581597,31.265408
上海市博兴路465弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路465弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.583688,31.267381', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.583688,31.267381",121.583688,31.267381
上海市博兴路616弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路616弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.584480,31.263629', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.584480,31.263629",121.584480,31.263629
上海市博兴路799弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路799弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.591010,31.266876', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.591010,31.266876",121.591010,31.266876
上海市博兴路986弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区博兴路986弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.591557,31.264613', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.591557,31.264613",121.591557,31.264613
上海市彩云路51弄,2022-04-05,"{'status': '1', 'info': 'OK', 'infocode': '10000', 'count': '1', 'geocodes': [{'formatted_address': '上海市浦东新区彩云路51弄', 'country': '中国', 'province': '上海市', 'citycode': '021', 'city': '上海市', 'district': '浦东新区', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '310115', 'street': [], 'number': [], 'location': '121.818740,30.896960', 'level': '道路'}]}",中国,上海市,021,上海市,浦东新区,"121.818740,30.896960",121.818740,30.896960
